caseidx,d0,d1a,d1b,d1c,d2,d3,d4,d5,d6,d7,d8,d9,d10,b1a,b1aa,b1b,b2a,b2b,b3a,b3b,b4a,b4b,b5a,b5b,b6a,b6b,i0,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,ga,gb1,gb2,gb3,gb4,gb5,gb6,gb7,gb8,gb9a,gb9b,cr1,cr2,ct1,ct1a,ct1b,ct2,ct2a,ct2b,c1,c2,e1,e2,e3,e4,e5,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,g1,g2,callern,caller_id,supern,team_no,dateinterviewstart,dateinterviewend,interview_start_time,interview_end_time,caller_phone_number,name_of_respondent,phone_number_of_respondent,treatment_status,interviewn_result,number_of_calls
15802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PII,111,,11,30092020,30092020,44527,44600,.p,PII,PII,1,Refused,5
10307,549225003,RECODE,ASOFAA,1,Male,Akan,Yes,59,Secondary,6,Yes,Informal sector,1001 - 1500,Yes,I moderately trust,I completely believe,Agree,60,Disagree,60,Agree,60,Agree,60,Agree,60,"Other family members(specify mother, father, siblings, extended relatives)",8,700,No,No,Yes,No,No,No,Yes,Yes,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,,35,5,,5,10,40,20,50,60,150,0,20,Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Some of the time (3-4 times in 7 days),A little of the time (1-2 times in 7 days),A little of the time (1-2 times in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Very often(5-7 times in a day),Sometimes(1-2 times in 7 days),PII,111,,11,29092020,29092020,212844,214809,.p,PII,PII,0,Yes (if call went through and the potential respondent answered),2
16001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30092020,,45040,,,PII,PII,1,Call Back,5
13611,545313005,RECODE,ASOFAA,1,Male,Mole-Dagbani,Yes,42,Nursery,6,Yes,Informal sector,1501 - 2000,Yes,I don't trust at all,I somewhat believe,Agree,50,Agree,50,Agree,50,Agree,50,Agree,50,Spouse,24,800,No,No,No,No,No,No,No,No,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,,9,11,,0,0,180,80,0,0,0,0,0,Some of the time (3-4 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,111,,11,30092020,30092020,41421,42712,.p,PII,PII,1,Yes (if call went through and the potential respondent answered),2
12212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30092020,,32232,,,PII,PII,0,Call Back,5
9909,241996815,RECODE,ASOFAA,1,Male,All Other Tribes,Yes,48,Other (specify),10,Yes,Informal sector,< 500,Yes,I don't trust at all,I don't believe,Disagree,60,Disagree,60,Disagree,60,Disagree,60,Disagree,60,Spouse,0,0,No,No,No,No,No,Yes,Yes,Yes,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,,10,10,,0,0,40,20,0,5,25,0,0,A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Some of the time (3-4 times in 7 days),None of the time (less than 1 time in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),Sometimes(1-2 times in 7 days),Never(less than 1 time in 7 days),PII,111,,11,29092020,5102020,215342,132527,.p,PII,PII,0,Yes (if call went through and the potential respondent answered),5
90310,245392159,RECODE,ASOFAA,1,Male,Mole-Dagbani,Yes,40,JSS/JHS,7,Yes,Informal sector,501 - 1000,Yes,I trust completely,I completely believe,Agree,50,Agree,50,Agree,50,Agree,50,Agree,50,Spouse,4,20,Yes,No,No,Yes,No,No,Yes,Yes,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,,10,5,,10,5,210,0,65,15,50,0,0,None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Some of the time (3-4 times in 7 days),A little of the time (1-2 times in 7 days),Some of the time (3-4 times in 7 days),Most of the time (5-6 times in 7 days),Most of the time (5-6 times in 7 days),Most of the time (5-6 times in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,111,,11,29092020,30092020,215049,21039,.p,PII,PII,0,Yes (if call went through and the potential respondent answered),1
87013,541478375,RECODE,ASOFAA,1,Male,All Other Tribes,Yes,44,Other (specify),9,Yes,Informal sector,< 500,Yes,I trust completely,I completely believe,Agree,70,Agree,70,Agree,70,Agree,70,Agree,70,Spouse,0,0,Yes,No,No,Yes,No,No,Yes,Yes,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,,18,2,,0,0,50,10,0,5,0,20,0,Some of the time (3-4 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,111,,11,29092020,7102020,215910,91452,.p,PII,PII,0,Yes (if call went through and the potential respondent answered),1
10910,249117286,RECODE,ASOFAA,1,Male,All Other Tribes,Yes,52,Primary,6,Yes,Informal sector,< 500,Yes,I somewhat trust,I somewhat believe,Agree,50,Agree,50,Agree,50,Agree,50,Agree,50,Spouse,8,0,No,Yes,Yes,No,No,Yes,Yes,Yes,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,,8,28,,0,0,50,10,0,30,12,100,0,None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Some of the time (3-4 times in 7 days),Most of the time (5-6 times in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,111,,11,30092020,30092020,24813,31618,.p,PII,PII,1,Yes (if call went through and the potential respondent answered),3
14115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PII,111,,11,30092020,30092020,44322,44423,.p,PII,PII,0,Refused,1
10607,547952830,RECODE,ASOFAA,1,Male,Ewe,Yes,27,JSS/JHS,5,Yes,Informal sector,501 - 1000,Yes,I trust completely,I completely believe,Agree,70,Agree,70,Agree,70,Agree,70,Agree,70,Spouse,63,900,No,No,No,No,No,Yes,No,Yes,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,14,15,,15,15,300,100,350,30,14,100,20,All of the time (7 times in 7 days,All of the time (7 times in 7 days,A little of the time (1-2 times in 7 days),All of the time (7 times in 7 days,A little of the time (1-2 times in 7 days),Most of the time (5-6 times in 7 days),A little of the time (1-2 times in 7 days),A little of the time (1-2 times in 7 days),A little of the time (1-2 times in 7 days),A little of the time (1-2 times in 7 days),Some of the time (3-4 times in 7 days),Most of the time (5-6 times in 7 days),All of the time (7 times in 7 days,Most of the time (5-6 times in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,101,,10,29092020,29092020,122524,125538,.p,PII,PII,1,Yes (if call went through and the potential respondent answered),1
10107,246769334,RECODE,ASOFAA,1,Male,Akan,Yes,52,Middle,5,No,Formal sector,501 - 1000,Yes,I somewhat trust,I moderately believe,Agree,90,Agree,90,Agree,90,Agree,90,Agree,90,Spouse,36,700,No,Yes,No,Yes,No,Yes,Yes,Yes,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,,21,20,,14,20,300,100,0,150,0,0,0,All of the time (7 times in 7 days,All of the time (7 times in 7 days,All of the time (7 times in 7 days,Some of the time (3-4 times in 7 days),Most of the time (5-6 times in 7 days),Most of the time (5-6 times in 7 days),Most of the time (5-6 times in 7 days),Most of the time (5-6 times in 7 days),All of the time (7 times in 7 days,All of the time (7 times in 7 days,Most of the time (5-6 times in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,101,,10,29092020,29092020,160103,164850,.p,PII,PII,2,Yes (if call went through and the potential respondent answered),1
8507,243317545,RECODE,ASOFAA,1,Male,Akan,Yes,55,Middle,7,Yes,Informal sector,< 500,Yes,I trust completely,I completely believe,Agree,50,Agree,50,Agree,50,Agree,50,Agree,80,Spouse,35,180,Yes,No,Yes,Yes,No,Yes,Yes,Yes,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,10,30,,70,30,300,100,0,0,0,20,0,Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),A little of the time (1-2 times in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Some of the time (3-4 times in 7 days),Most of the time (5-6 times in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,101,,10,29092020,29092020,192344,194628,.p,PII,PII,2,Yes (if call went through and the potential respondent answered),2
10807,578543532,RECODE,ASOFAA,1,Male,Akan,Yes,46,JSS/JHS,6,Yes,Informal sector,< 500,Yes,I trust completely,I completely believe,Agree,90,Agree,90,Agree,90,Agree,90,Agree,80,Spouse,16,30,Yes,No,No,No,No,Yes,Yes,Yes,"Health[i.e., being infected with COVID19 to affect you physically, mentally and socially]",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,,35,10,,35,10,50,20,1500,50,0,100,100,Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),Most of the time (5-6 times in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,101,,10,29092020,29092020,165316,171552,.p,PII,PII,0,Yes (if call went through and the potential respondent answered),2
18207,542528311,RECODE,ASOFAA,1,Female,All Other Tribes,No,45,Primary,5,Yes,Informal sector,< 500,Yes,I trust completely,I completely believe,Agree,100,Agree,100,Agree,100,Agree,100,Agree,100,Myself,5,200,Yes,No,No,Yes,No,Yes,Yes,No,Other specify,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,,14,10,,14,10,250,120,0,100,1200,0,0,Most of the time (5-6 times in 7 days),Some of the time (3-4 times in 7 days),Most of the time (5-6 times in 7 days),A little of the time (1-2 times in 7 days),A little of the time (1-2 times in 7 days),Some of the time (3-4 times in 7 days),Most of the time (5-6 times in 7 days),A little of the time (1-2 times in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),Most of the time (5-6 times in 7 days),A little of the time (1-2 times in 7 days),All of the time (7 times in 7 days,Some of the time (3-4 times in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,101,,10,29092020,29092020,145402,151156,.p,PII,PII,0,Yes (if call went through and the potential respondent answered),2
15914,243203939,RECODE,ASOFAA,1,Female,All Other Tribes,Yes,54,Voc/technical/commercial,4,Yes,Informal sector,< 500,Yes,I trust completely,I completely believe,Agree,50,Agree,50,Agree,50,Agree,50,Agree,50,Myself,8,140,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,,25,20,,20,20,115,50,250,50,7,0,0,A little of the time (1-2 times in 7 days),A little of the time (1-2 times in 7 days),A little of the time (1-2 times in 7 days),A little of the time (1-2 times in 7 days),A little of the time (1-2 times in 7 days),Some of the time (3-4 times in 7 days),None of the time (less than 1 time in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),All of the time (7 times in 7 days,All of the time (7 times in 7 days,Some of the time (3-4 times in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,101,,10,29092020,29092020,141700,143809,.p,PII,PII,1,Yes (if call went through and the potential respondent answered),1
28012,548246717,RECODE,ASOFAA,1,Female,All Other Tribes,No,48,SSS/SHS,8,Yes,Informal sector,< 500,Yes,I trust completely,I completely believe,Agree,100,Agree,100,Agree,100,Agree,100,Agree,100,Myself,35,200,Yes,No,No,Yes,No,No,Yes,Yes,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,10,5,,5,5,240,100,0,20,40,0,0,None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),All of the time (7 times in 7 days,All of the time (7 times in 7 days,All of the time (7 times in 7 days,Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,101,,10,29092020,29092020,132217,135525,.p,PII,PII,0,Yes (if call went through and the potential respondent answered),2
3514,545776049,RECODE,ASOFAA,1,Male,Ewe,Yes,63,Middle,8,Yes,Informal sector,501 - 1000,Yes,I trust completely,I somewhat believe,Agree,100,Agree,100,Agree,100,Agree,100,Agree,100,"Other family members(specify mother, father, siblings, extended relatives)",0,0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,,10,2,,0,0,300,0,0,100,0,300,0,None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Some of the time (3-4 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),None of the time (less than 1 time in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,107,,10,29092020,1102020,184353,204734,.p,PII,PII,0,Yes (if call went through and the potential respondent answered),1
